model_name,image_file_name,image_url,product_url
prs se custom 24 quilt tu,prs_se_custom_24_quilt_tu.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_57/577378/19700821_800.jpg,https://www.thomann.de/gr/prs_se_custom_24_quilt_tu.htm?type=category
gibson sg standard eb 462537,gibson_sg_standard_eb_462537.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_46/462537/14269953_800.jpg,https://www.thomann.de/gr/gibson_sg_standard_eb_462537.htm?type=category
epiphone sg standard heritage cherry,epiphone_sg_standard_heritage_cherry.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_48/482569/15170408_800.jpg,https://www.thomann.de/gr/epiphone_sg_standard_heritage_cherry.htm?type=category
prs se custom 24 ch,prs_se_custom_24_ch.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_56/569034/18480662_800.jpg,https://www.thomann.de/gr/prs_se_custom_24_ch.htm?type=category
epiphone sg standard 61 vintage cherry,MISSING_IMAGE,N/A,https://www.thomann.de/gr/epiphone_sg_standard_61_vintage_cherry.htm?type=category
prs se custom 24 quilt vi,prs_se_custom_24_quilt_vi.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_57/577377/19700674_800.jpg,https://www.thomann.de/gr/prs_se_custom_24_quilt_vi.htm?type=category
gibson sg 61 standard tt,gibson_sg_61_standard_tt.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/583959/18947333_800.jpg,https://www.thomann.de/gr/gibson_sg_61_standard_tt.htm?type=category
epiphone sg standard alpine white,epiphone_sg_standard_alpine_white.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_48/482491/15195833_800.jpg,https://www.thomann.de/gr/epiphone_sg_standard_alpine_white.htm?type=category
prs se ce 24 standard satin vc,prs_se_ce_24_standard_satin_vc.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/585632/19218118_800.jpg,https://www.thomann.de/gr/prs_se_ce_24_standard_satin_vc.htm?type=category
epiphone sg 1963 custom maestro cw vos,epiphone_sg_1963_custom_maestro_cw_vos.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/588244/19024083_800.jpg,https://www.thomann.de/gr/epiphone_sg_1963_custom_maestro_cw_vos.htm?type=category
gibson sg 61 standard maestro vc,gibson_sg_61_standard_maestro_vc.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_46/462534/14004047_800.jpg,https://www.thomann.de/gr/gibson_sg_61_standard_maestro_vc.htm?type=category
gibson sg standard tv yellow,gibson_sg_standard_tv_yellow.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/589526/19101413_800.jpg,https://www.thomann.de/gr/gibson_sg_standard_tv_yellow.htm?type=category
gibson sg standard hc,gibson_sg_standard_hc.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_46/462538/14270023_800.jpg,https://www.thomann.de/gr/gibson_sg_standard_hc.htm?type=category
harley benton dc 200 ch student series,harley_benton_dc_200_ch_student_series.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_36/362643/19373126_800.jpg,https://www.thomann.de/gr/harley_benton_dc_200_ch_student_series.htm?type=category
gibson sg 61 standard tobacco sb,gibson_sg_61_standard_tobacco_sb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_59/598582/19535085_800.jpg,https://www.thomann.de/gr/gibson_sg_61_standard_tobacco_sb.htm?type=category
gibson sg standard cardinal red b,gibson_sg_standard_cardinal_red_b.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/589527/19101303_800.jpg,https://www.thomann.de/gr/gibson_sg_standard_cardinal_red_b.htm?type=category
yamaha revstar rss02t swift blue,yamaha_revstar_rss02t_swift_blue.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_53/539429/18635322_800.jpg,https://www.thomann.de/gr/yamaha_revstar_rss02t_swift_blue.htm?type=category
gibson sg standard 64 maestro ch ula,gibson_sg_standard_64_maestro_ch_ula.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_50/504256/16139356_800.jpg,https://www.thomann.de/gr/gibson_sg_standard_64_maestro_ch_ula.htm?type=category
prs se custom 24 08 quilt lb,prs_se_custom_24_08_quilt_lb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_60/601411/19505460_800.jpg,https://www.thomann.de/gr/prs_se_custom_24_08_quilt_lb.htm?type=category
yamaha revstar rss20 black,yamaha_revstar_rss20_black.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_53/539405/18610658_800.jpg,https://www.thomann.de/gr/yamaha_revstar_rss20_black.htm?type=category
harley benton dc 580 ch vintage series,harley_benton_dc_580_ch_vintage_series.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_36/362646/18203326_800.jpg,https://www.thomann.de/gr/harley_benton_dc_580_ch_vintage_series.htm?type=category
yamaha revstar rsp02t sunset burst,yamaha_revstar_rsp02t_sunset_burst.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_53/539424/19032103_800.jpg,https://www.thomann.de/gr/yamaha_revstar_rsp02t_sunset_burst.htm?type=category
prs se santana sy 2017,prs_se_santana_sy_2017.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_40/401074/19439891_800.jpg,https://www.thomann.de/gr/prs_se_santana_sy_2017.htm?type=category
prs se ce 24 standard satin ms,prs_se_ce_24_standard_satin_ms.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_60/601453/19505580_800.jpg,https://www.thomann.de/gr/prs_se_ce_24_standard_satin_ms.htm?type=category
gibson sg standard 64 maestro ch vos,gibson_sg_standard_64_maestro_ch_vos.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_45/459362/17091848_800.jpg,https://www.thomann.de/gr/gibson_sg_standard_64_maestro_ch_vos.htm?type=category
epiphone 1961 les paul sg standard ch,epiphone_1961_les_paul_sg_standard_ch.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_52/525231/16833901_800.jpg,https://www.thomann.de/gr/epiphone_1961_les_paul_sg_standard_ch.htm?type=category
gibson sg standard 64 maestro vos lh,gibson_sg_standard_64_maestro_vos_lh.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_54/549968/18902466_800.jpg,https://www.thomann.de/gr/gibson_sg_standard_64_maestro_vos_lh.htm?type=category
gibson sg standard trans. teal,gibson_sg_standard_trans._teal.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/589524/19101508_800.jpg,https://www.thomann.de/gr/gibson_sg_standard_trans._teal.htm?type=category
