model_name,image_file_name,image_url,product_url
epiphone broadway wine red,MISSING_IMAGE,N/A,https://www.thomann.de/gr/epiphone_broadway_wine_red.htm?type=category
the loar lh 309 vs,the_loar_lh_309_vs.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_26/269707/8727808_800.jpg,https://www.thomann.de/gr/the_loar_lh_309_vs.htm?type=category
harley benton bigtone vintage orange,harley_benton_bigtone_vintage_orange.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_34/349018/13237441_800.jpg,https://www.thomann.de/gr/harley_benton_bigtone_vintage_orange.htm?type=category
harley benton custom line manhattan standard,harley_benton_custom_line_manhattan_standard.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_30/306822/13152736_800.jpg,https://www.thomann.de/gr/harley_benton_custom_line_manhattan_standard.htm?type=category
godin 5th ave jumbo p90 harvest gold,godin_5th_ave_jumbo_p90_harvest_gold.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_55/553524/18200972_800.jpg,https://www.thomann.de/gr/godin_5th_ave_jumbo_p90_harvest_gold.htm?type=category
harley benton bigtone white vintage series,harley_benton_bigtone_white_vintage_series.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_34/349014/13298446_800.jpg,https://www.thomann.de/gr/harley_benton_bigtone_white_vintage_series.htm?type=category
dangelico excel exl1 amber,dangelico_excel_exl1_amber.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/585303/18904966_800.jpg,https://www.thomann.de/gr/dangelico_excel_exl1_amber.htm?type=category
stanford cr fatboy golden eye 95,stanford_cr_fatboy_golden_eye_95.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_59/591320/19123098_800.jpg,https://www.thomann.de/gr/stanford_cr_fatboy_golden_eye_95.htm?type=category
godin 5th ave kingpin p90 lh,godin_5th_ave_kingpin_p90_lh.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_47/471254/15255098_800.jpg,https://www.thomann.de/gr/godin_5th_ave_kingpin_p90_lh.htm?type=category
heritage guitar eagle classic an,heritage_guitar_eagle_classic_an.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_47/474670/14474989_800.jpg,https://www.thomann.de/gr/heritage_guitar_eagle_classic_an.htm?type=category
godin 5th avenue kingpin cognacburst,godin_5th_avenue_kingpin_cognacburst.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_20/209636/16423796_800.jpg,https://www.thomann.de/gr/godin_5th_avenue_kingpin_cognacburst.htm?type=category
ibanez lgb30 nt,ibanez_lgb30_nt.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_37/372663/10641809_800.jpg,https://www.thomann.de/gr/ibanez_lgb30_nt.htm?type=category
ibanez af75bs jazzgitarre,ibanez_af75bs_jazzgitarre.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_15/157638/18577248_800.jpg,https://www.thomann.de/gr/ibanez_af75bs_jazzgitarre.htm?type=category
godin 5th avenue uptown custom br,godin_5th_avenue_uptown_custom_br.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_47/471157/15006920_800.jpg,https://www.thomann.de/gr/godin_5th_avenue_uptown_custom_br.htm?type=category
ibanez ag95qa dbs,ibanez_ag95qa_dbs.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_42/428935/12975949_800.jpg,https://www.thomann.de/gr/ibanez_ag95qa_dbs.htm?type=category
ibanez af55 tf,ibanez_af55_tf.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_33/331687/12588676_800.jpg,https://www.thomann.de/gr/ibanez_af55_tf.htm?type=category
epiphone broadway vintage sunburst,MISSING_IMAGE,N/A,https://www.thomann.de/gr/epiphone_broadway_vintage_sunburst.htm?type=category
godin 5th ave cw kingpin ii hb,godin_5th_ave_cw_kingpin_ii_hb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_47/471245/14836966_800.jpg,https://www.thomann.de/gr/godin_5th_ave_cw_kingpin_ii_hb.htm?type=category
guild a 150 savoy blonde,guild_a_150_savoy_blonde.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_30/305072/19041629_800.jpg,https://www.thomann.de/gr/guild_a_150_savoy_blonde.htm?type=category
ibanez gb10se bs george benson,ibanez_gb10se_bs_george_benson.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_37/379249/10951839_800.jpg,https://www.thomann.de/gr/ibanez_gb10se_bs_george_benson.htm?type=category
