model_name,image_file_name,image_url,product_url
harley benton electric guitar kit lpstyle,harley_benton_electric_guitar_kit_lpstyle.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_11/115992/12841497_800.jpg,https://www.thomann.de/gr/harley_benton_electric_guitar_kit_lpstyle.htm?type=category
harley benton sc 550plus emg paf,harley_benton_sc_550plus_emg_paf.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_49/497996/19373192_800.jpg,https://www.thomann.de/gr/harley_benton_sc_550plus_emg_paf.htm?type=category
harley benton sc 500 bk vintage series,harley_benton_sc_500_bk_vintage_series.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_36/362633/15630125_800.jpg,https://www.thomann.de/gr/harley_benton_sc_500_bk_vintage_series.htm?type=category
harley benton sc 550 ii ftf,harley_benton_sc_550_ii_ftf.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_52/521047/16415116_800.jpg,https://www.thomann.de/gr/harley_benton_sc_550_ii_ftf.htm?type=category
gibson les paul standard 50s gt,gibson_les_paul_standard_50s_gt.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_46/462504/15172473_800.jpg,https://www.thomann.de/gr/gibson_les_paul_standard_50s_gt.htm?type=category
harley benton sc 550 ii paf,harley_benton_sc_550_ii_paf.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_52/521048/16415196_800.jpg,https://www.thomann.de/gr/harley_benton_sc_550_ii_paf.htm?type=category
gibson les paul modern figured chb,gibson_les_paul_modern_figured_chb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_56/569679/18720372_800.jpg,https://www.thomann.de/gr/gibson_les_paul_modern_figured_chb.htm?type=category
gibson les paul standard 50s fadedvtb,gibson_les_paul_standard_50s_fadedvtb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_60/601801/19522435_800.jpg,https://www.thomann.de/gr/gibson_les_paul_standard_50s_fadedvtb.htm?type=category
gibson les paul standard 50s fadedvhb,gibson_les_paul_standard_50s_fadedvhb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_60/601982/19529125_800.jpg,https://www.thomann.de/gr/gibson_les_paul_standard_50s_fadedvhb.htm?type=category
harley benton sc 550 ii bcf,harley_benton_sc_550_ii_bcf.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_52/521050/16415371_800.jpg,https://www.thomann.de/gr/harley_benton_sc_550_ii_bcf.htm?type=category
gibson les paul standard 50s hcs,gibson_les_paul_standard_50s_hcs.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_46/462505/14249283_800.jpg,https://www.thomann.de/gr/gibson_les_paul_standard_50s_hcs.htm?type=category
epiphone les paul standard 50s hcs,epiphone_les_paul_standard_50s_hcs.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_48/482227/14993015_800.jpg,https://www.thomann.de/gr/epiphone_les_paul_standard_50s_hcs.htm?type=category
gibson les paul slash standard nb,gibson_les_paul_slash_standard_nb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_48/482161/15574450_800.jpg,https://www.thomann.de/gr/gibson_les_paul_slash_standard_nb.htm?type=category
epiphone les paul classic honeyburst,epiphone_les_paul_classic_honeyburst.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_48/482194/15194983_800.jpg,https://www.thomann.de/gr/epiphone_les_paul_classic_honeyburst.htm?type=category
gibson les paul standard 50s tb,MISSING_IMAGE,N/A,https://www.thomann.de/gr/gibson_les_paul_standard_50s_tb.htm?type=category
gibson les paul standard 60s cherry,gibson_les_paul_standard_60s_cherry.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_59/591160/19286081_800.jpg,https://www.thomann.de/gr/gibson_les_paul_standard_60s_cherry.htm?type=category
epiphone les paul custom ebony,epiphone_les_paul_custom_ebony.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_48/482197/15100628_800.jpg,https://www.thomann.de/gr/epiphone_les_paul_custom_ebony.htm?type=category
gibson lp special tribute sc tvy,gibson_lp_special_tribute_sc_tvy.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_46/462514/19699366_800.jpg,https://www.thomann.de/gr/gibson_lp_special_tribute_sc_tvy.htm?type=category
gibson kirk hammett greeny lp std,gibson_kirk_hammett_greeny_lp_std.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_56/561551/19019523_800.jpg,https://www.thomann.de/gr/gibson_kirk_hammett_greeny_lp_std.htm?type=category
epiphone les paul custom ebony 588239,epiphone_les_paul_custom_ebony_588239.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/588239/19023623_800.jpg,https://www.thomann.de/gr/epiphone_les_paul_custom_ebony_588239.htm?type=category
epiphone lp custom 1979 adam jones,epiphone_lp_custom_1979_adam_jones.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_56/569557/19476148_800.jpg,https://www.thomann.de/gr/epiphone_lp_custom_1979_adam_jones.htm?type=category
epiphone les paul classic hcs,epiphone_les_paul_classic_hcs.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_48/482195/17539329_800.jpg,https://www.thomann.de/gr/epiphone_les_paul_classic_hcs.htm?type=category
gibson les paul standard 60s cl.white,gibson_les_paul_standard_60s_cl.white.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/589517/19101668_800.jpg,https://www.thomann.de/gr/gibson_les_paul_standard_60s_cl.white.htm?type=category
gibson les paul supreme wine red,gibson_les_paul_supreme_wine_red.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_56/567229/18630482_800.jpg,https://www.thomann.de/gr/gibson_les_paul_supreme_wine_red.htm?type=category
gibson les paul 54 goldtop vos,gibson_les_paul_54_goldtop_vos.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_45/459286/13946626_800.jpg,https://www.thomann.de/gr/gibson_les_paul_54_goldtop_vos.htm?type=category
epiphone les paul custom alpine white,epiphone_les_paul_custom_alpine_white.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_48/482196/14992910_800.jpg,https://www.thomann.de/gr/epiphone_les_paul_custom_alpine_white.htm?type=category
gibson les paul junior vtb,gibson_les_paul_junior_vtb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_46/462521/14004227_800.jpg,https://www.thomann.de/gr/gibson_les_paul_junior_vtb.htm?type=category
gibson les paul standard 60s bb,gibson_les_paul_standard_60s_bb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_46/462510/14952100_800.jpg,https://www.thomann.de/gr/gibson_les_paul_standard_60s_bb.htm?type=category
epiphone les paul custom alpine white 588237,epiphone_les_paul_custom_alpine_white_588237.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_58/588237/19023543_800.jpg,https://www.thomann.de/gr/epiphone_les_paul_custom_alpine_white_588237.htm?type=category
esp ltd ec1000 vbk,esp_ltd_ec1000_vbk.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_19/192156/12195602_800.jpg,https://www.thomann.de/gr/esp_ltd_ec1000_vbk.htm?type=category
gibson les paul slash standard gt,gibson_les_paul_slash_standard_gt.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_49/495755/17510274_800.jpg,https://www.thomann.de/gr/gibson_les_paul_slash_standard_gt.htm?type=category
