model_name,image_file_name,image_url,product_url
harley benton hbt1952,harley_benton_hbt1952.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_22/223985/19675769_800.jpg,https://www.thomann.de/gr/harley_benton_hbt1952.htm?type=category
harley benton te 62db lh lpb,harley_benton_te_62db_lh_lpb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_54/547155/18790473_800.jpg,https://www.thomann.de/gr/harley_benton_te_62db_lh_lpb.htm?type=category
fender player series tele mn btb,fender_player_series_tele_mn_btb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_43/439173/14091497_800.jpg,https://www.thomann.de/gr/fender_player_series_tele_mn_btb.htm?type=category
harley benton te 52 na vintage series bundle bundle,harley_benton_te_52_na_vintage_series_bundle_bundle.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_54/545172/18795631_800.jpg,https://www.thomann.de/gr/harley_benton_te_52_na_vintage_series_bundle_bundle.htm?type=category
harley benton te 90flt black blast,harley_benton_te_90flt_black_blast.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_48/489985/17221383_800.jpg,https://www.thomann.de/gr/harley_benton_te_90flt_black_blast.htm?type=category
fender player ii tele mn btb,fender_player_ii_tele_mn_btb.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_59/595456/19275989_800.jpg,https://www.thomann.de/gr/fender_player_ii_tele_mn_btb.htm?type=category
harley benton te 62cc sfg,harley_benton_te_62cc_sfg.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_50/502847/16824796_800.jpg,https://www.thomann.de/gr/harley_benton_te_62cc_sfg.htm?type=category
harley benton te 69 hot rod nt roasted,harley_benton_te_69_hot_rod_nt_roasted.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_51/517406/17315294_800.jpg,https://www.thomann.de/gr/harley_benton_te_69_hot_rod_nt_roasted.htm?type=category
harley benton te 62db lpb,MISSING_IMAGE,N/A,https://www.thomann.de/gr/harley_benton_te_62db_lpb.htm?type=category
fender player ii tele mn blk,fender_player_ii_tele_mn_blk.jpg,https://thumbs.static-thomann.de/thumb/padthumb600x600/pics/bdb/_59/595338/19270124_800.jpg,https://www.thomann.de/gr/fender_player_ii_tele_mn_blk.htm?type=category
